PC1,PC2,PC3
0.39764686097614893,-1.3093831287576854,2.1065201552070953
-0.03572536617720232,-1.2883002190364712,1.0383646604728112
-0.2819825175340722,-1.234187111058267,0.28671619487065514
-0.8341623100201097,-0.9561484854747682,-0.9220394440703473
-0.6423366285646098,-0.6553199621114221,-1.2146402966224834
-0.25252230371488865,-0.30716381827364986,-1.32661251187923
-0.056365781335070676,-0.030449192376719628,-1.3868776583441147
0.9752425153353885,0.31467798786161066,-0.3101652688492517
1.5036927199189392,0.6949707261724606,-0.021051167104861355
1.4567674946896312,1.0071106749998013,-0.09531965548443327
0.9788466007285506,0.8349291932980051,0.2997158241079285
-1.336174669413524,1.2646784965041908,0.7299604563768834
-1.872926614889181,1.664584838252916,0.8154287113193469
