Year,WFP,WB,HFP,HB,AFP,AB,AAFP,AAB,OTP,OTB,TB,TFP,WFP_Perc_Change,WB_Perc_Change,HFP_Perc_Change,HB_Perc_Change,AFP_Perc_Change,AB_Perc_Change,AAFP_Perc_Change,AAB_Perc_Change
2011,45267948,2209244,13881646,944717,4385642,243814,10678168,595983,1988722,119714,4113472,76202126,-1.0303887865211525,-0.2277933132456167,1.7505916667057697,-2.545007778103303,1.5118068609158541,3.8407809332356546,-0.25276437388950246,-6.083030642073162
2012,44790429,2206855,14102302,931798,4544112,259018,10704263,612819,2046164,114863,4125353,76187270,-1.054872202292001,-0.10813653901515785,1.589552132362404,-1.367499473387268,3.613382031638701,6.235901137752542,0.244377125364581,2.824912791136658
2013,44328454,2111818,14328898,884198,4633277,247937,10729458,572070,2109275,114394,3930417,76129362,-1.0314145461745805,-4.306445144787496,1.606801499499877,-5.108403323467103,1.9622095582151111,-4.278081060003547,0.2353735142718305,-6.6494348249646285
2021,41171444,2015141,16334404,914387,5282830,254937,10323090,536779,4149589,200944,3922188,77261357,-3.041174004208669,-5.281714304515606,4.711215034809824,4.516421793309666,2.0067968101334266,-2.3615201663711227,-3.927965308274728,-7.301020972064876
2022,40825475,2056093,16647830,946385,5408497,272956,10425771,556897,4142156,204563,4036894,77449729,-0.8403130091818034,2.0322151154683388,1.9188089139952735,3.499393582804644,2.3787818271646,7.068020726689328,0.9946731065988867,3.7479111515167363
